     MetID    Y  M  D      TAM      NNM      UUM      FFM       RR
    888011 2009 10 30     -2.1      3.2     86.4      1.5      0.3
    888011 2009 10 31     -1.0      7.2     81.7      2.4      0.0
    888011 2009 11  1      4.4      7.9     73.2      4.8      2.3
    888011 2009 11  2      6.3      7.5     63.5      5.2      5.3
    888011 2009 11  3      6.0      6.3     74.5      3.7     10.7
    888011 2009 11  4      3.3      4.4     49.4      6.9      0.6
    888011 2009 11  5      0.8      4.2     54.1      3.8      0.0
    888011 2009 11  6     -0.3      3.6     63.6      3.0      0.5
    888011 2009 11  7      4.8      6.2     61.0      4.3      0.3
    888011 2009 11  8      4.1      7.2     70.7      2.5      0.3
    888011 2009 11  9     -2.1      1.6     83.7      1.6      0.5
    888011 2009 11 10     -3.2      1.2     81.4      2.0      0.1
    888011 2009 11 11     -3.8      5.8     80.0      1.7      0.4
    888011 2009 11 12     -5.2      2.4     78.1      2.2      0.0
    888011 2009 11 13     -2.2      5.7     72.7      4.4      0.2
    888011 2009 11 14      1.5      7.9     79.5      5.1      3.6
    888011 2009 11 15      3.2      5.9     84.8      2.5     14.7
    888011 2009 11 16      1.4      4.6     77.2      3.0      5.4
    888011 2009 11 17      5.1      7.0     70.7      3.8      0.1
    888011 2009 11 18      2.9      7.0     87.6      1.9     15.2
    888011 2009 11 19      3.2      7.8     90.6      2.3      6.6
    888011 2009 11 20      6.2      7.4     89.7      3.1     58.6
    888011 2009 11 21      3.8      4.7     82.7      2.9     31.7
    888011 2009 11 22      2.9      7.2     88.8      3.1     15.2
    888011 2009 11 23      1.8      6.7     88.9      1.8     11.8
    888011 2009 11 24      1.5      6.5     91.2      1.4      1.1
    888011 2009 11 25      2.8      7.4     85.3      3.9     11.0
    888011 2009 11 26      3.2      7.3     86.0      3.8     67.5
    888011 2009 11 27      1.3      6.9     90.5      1.6     38.7
    888011 2009 11 28      0.0      6.5     90.7      0.9      3.0
    888011 2009 11 29     -0.4      6.3     89.3      1.1      0.5
    888011 2009 11 30     -3.2      2.6     84.2      1.4      2.1
    888011 2009 12  1     -3.0      5.2     83.2      1.8      0.2
    888011 2009 12  2     -2.2      6.4     70.4      3.2      0.0
    888011 2009 12  3      1.9      6.8     50.9      4.7      0.0
    888011 2009 12  4      2.3      7.1     67.4      4.1      0.0
    888011 2009 12  5      3.4      6.7     63.1      4.4      0.3
    888011 2009 12  6      6.9      7.3     55.4      5.9      0.3
    888011 2009 12  7      5.0      5.5     63.0      3.8      0.9
    888011 2009 12  8      3.6      3.3     69.9      3.2      0.3
    888011 2009 12  9      3.6      7.6     75.0      3.1      0.0
    888011 2009 12 10      1.9      7.1     87.4      1.0      3.0
    888011 2009 12 11     -1.3      3.3     90.2      0.9      0.3
    888011 2009 12 12     -3.8      3.6     85.8      1.1      0.0
    888011 2009 12 13     -1.7      7.3     87.7      0.9      0.0
    888011 2009 12 14     -0.8      7.7     91.5      1.0      1.4
    888011 2009 12 15     -1.9      5.8     89.5      1.2     12.9
    888011 2009 12 16     -7.5      1.4     77.5      2.7      0.2
    888011 2009 12 17    -11.2      0.7     69.7      3.1      0.0
    888011 2009 12 18    -14.3      2.7     73.8      2.2      0.1
    888011 2009 12 19     -6.0      7.8     86.6      2.5      7.3
    888011 2009 12 20     -5.0      7.3     61.3      4.5     19.0
    888011 2009 12 21    -11.5      5.6     73.0      2.8      0.8
    888011 2009 12 22    -10.1      4.4     76.1      2.7      0.2
    888011 2009 12 23     -9.9      4.6     74.8      2.9      0.0
    888011 2009 12 24     -4.6      6.5     80.8      2.3      0.5
    888011 2009 12 25     -4.3      5.6     73.8      3.4      0.2
    888011 2009 12 26     -2.5      7.8     84.0      2.9      2.5
    888011 2009 12 27     -1.6      7.0     88.2      2.3     13.4
    888011 2009 12 28     -4.1      5.8     86.9      2.1      7.1
    888011 2009 12 29     -9.9      1.6     84.0      1.4      8.0
    888011 2009 12 30    -16.8      0.9     78.7      1.2      0.3
    888011 2009 12 31    -17.5      2.7     79.1      1.1      0.0
    888011 2010  1  1    -11.2      5.5     75.6      2.8      0.0
    888011 2010  1  2    -15.4      0.5     72.3      2.4      0.0
    888011 2010  1  3    -12.4      7.1     79.6      1.1      0.1
    888011 2010  1  4    -10.3      5.2     84.7      1.2      0.2
    888011 2010  1  5    -16.5      1.8     74.6      1.9      0.1
    888011 2010  1  6    -20.0      0.6     68.7      1.7      0.2
    888011 2010  1  7    -21.9      0.9     70.2      1.7      0.0
    888011 2010  1  8    -23.5      0.9     69.1      1.6      0.1
    888011 2010  1  9    -21.6      0.1     66.3      1.7      0.0
    888011 2010  1 10    -19.7      0.2     67.6      1.5      0.0
    888011 2010  1 11    -17.3      0.7     67.5      1.3      0.0
    888011 2010  1 12    -14.0      0.6     75.1      1.6      0.0
    888011 2010  1 13     -8.2      1.4     77.5      2.9      0.0
